year,rbf_f1,rbf_recall,rbf_precision,rbf_acc,rbf_C,rbf_gamma,rbf_cv_accuracy,poly_f1,poly_recall,poly_precision,poly_acc,poly_C,poly_degree,poly_gamma,poly_cv_accuracy,runtime_sec,n_train,n_test
2007,0.208955223880597,0.1372549019607843,0.4375,0.8582887700534759,0.1,0.1,0.8685095657137948,0.4774193548387097,0.7254901960784313,0.3557692307692308,0.7834224598930482,10.0,2,scale,0.6612915316148648,516.0338277816772,19241,374
2008,0.2409638554216867,0.1851851851851851,0.3448275862068966,0.8288043478260869,0.1,0.1,0.8690796292594497,0.4534883720930232,0.7222222222222222,0.3305084745762712,0.7445652173913043,10.0,2,scale,0.6482287066831195,522.5166137218475,19615,368
2009,0.0714285714285714,0.0588235294117647,0.0909090909090909,0.7705882352941177,0.1,0.1,0.8683380873742682,0.2558139534883721,0.4313725490196078,0.1818181818181818,0.6235294117647059,10.0,2,scale,0.6653155181904619,585.8170959949493,19983,340
2010,0.1927710843373494,0.1403508771929824,0.3076923076923077,0.8530701754385965,0.1,0.1,0.8675883442625391,0.3838383838383838,0.6666666666666666,0.2695035460992908,0.7324561403508771,10.0,2,scale,0.6600408260947092,612.2148201465607,20323,456
2011,0.2247191011235955,0.175438596491228,0.3125,0.8486842105263158,0.1,0.1,0.8687135257315323,0.5443786982248521,0.8070175438596491,0.4107142857142857,0.831140350877193,10.0,2,scale,0.6485392408820765,645.6155681610107,20779,456
2012,0.1521739130434782,0.1166666666666666,0.21875,0.8375,0.1,0.1,0.8696020182511335,0.4248704663212435,0.6833333333333333,0.3082706766917293,0.76875,10.0,2,scale,0.6435604579025211,688.0572128295898,21235,480
2013,0.073170731707317,0.0526315789473684,0.12,0.8181818181818182,0.1,0.1,0.8700436737884605,0.4736842105263157,0.7894736842105263,0.3383458646616541,0.7607655502392344,10.0,2,scale,0.6269402876610289,733.4022631645203,21715,418
2014,0.047619047619047616,0.03508771929824561,0.07407407407407407,0.8034398034398035,0.1,0.1,0.8696513977081123,0.39790575916230364,0.6666666666666666,0.2835820895522388,0.7174447174447175,10.0,2,scale,0.6259368807627036,777.2770099639893,22133,407
2015,0.21052631578947367,0.14035087719298245,0.42105263157894735,0.8412698412698413,0.1,0.1,0.8690770971696261,0.47572815533980584,0.8596491228070176,0.3288590604026846,0.7142857142857143,10.0,2,scale,0.6137521626814235,817.3476939201355,22540,378
2016,0.3404255319148936,0.25396825396825395,0.5161290322580645,0.8658008658008658,0.1,0.1,0.8691857333098477,0.41964285714285715,0.746031746031746,0.2919254658385093,0.7186147186147186,10.0,2,scale,0.6137955556438932,822.3426239490509,22918,462
2017,0.39080459770114945,0.2833333333333333,0.6296296296296297,0.8675,0.1,0.1,0.868306170998467,0.5076142131979695,0.8333333333333334,0.36496350364963503,0.7575,10.0,2,scale,0.6021795866514983,851.0859110355377,23380,400
2018,0.42,0.3333333333333333,0.5675675675675675,0.861904761904762,0.1,0.1,0.8673251152912984,0.57,0.9047619047619048,0.41605839416058393,0.7952380952380952,10.0,2,scale,0.5905302796504944,883.0822398662567,23780,420
2019,0.24175824175824176,0.1746031746031746,0.39285714285714285,0.8357142857142857,0.1,0.1,0.8655780986973989,0.5133689839572193,0.7619047619047619,0.3870967741935484,0.7833333333333333,10.0,2,scale,0.5906117358534785,938.3101150989532,24200,420
2020,0.24324324324324326,0.17647058823529413,0.391304347826087,0.8352941176470589,0.1,0.1,0.8660434274758148,0.5066666666666667,0.7450980392156863,0.3838383838383838,0.7823529411764706,10.0,2,scale,0.5814294348929825,960.7895159721375,24620,340
2021,0.34782608695652173,0.24242424242424243,0.6153846153846154,0.8636363636363636,0.1,0.1,0.8643429487179487,0.5714285714285714,0.8484848484848485,0.4307692307692308,0.8090909090909091,10.0,2,scale,0.575400641025641,1015.3863651752472,24960,440
2022,0.2765957446808511,0.19696969696969696,0.4642857142857143,0.8454545454545455,0.1,0.1,0.863660879027914,0.5026178010471204,0.7272727272727273,0.384,0.7840909090909091,10.0,2,scale,0.5890471619071342,1076.1771640777588,25400,440
2023,0.1836734693877551,0.13636363636363635,0.28125,0.8181818181818182,0.1,0.1,0.8623062899728259,0.4895833333333333,0.7121212121212122,0.373015873015873,0.7772727272727272,10.0,2,scale,0.588967934740254,1137.9020500183105,25840,440
2024,0.26785714285714285,0.20833333333333334,0.375,0.8288100208768268,0.1,0.1,0.8622146118721461,0.45535714285714285,0.7083333333333334,0.3355263157894737,0.7453027139874739,10.0,2,scale,0.5785388127853882,1178.205116033554,26280,479
