year,rbf_f1,rbf_recall,rbf_precision,rbf_acc,rbf_C,rbf_gamma,rbf_cv_f1,poly_f1,poly_recall,poly_precision,poly_acc,poly_C,poly_degree,poly_gamma,poly_cv_f1,runtime_sec,n_train,n_test
1999,0.5,0.7708333333333334,0.37,0.7897727272727273,1.0,scale,0.3668789608625928,0.4347826086956521,0.7291666666666666,0.3097345132743362,0.7414772727272727,10,3,scale,0.2871090067600402,2201.0793566703796,16328,352
2000,0.5962732919254659,0.9411764705882352,0.4363636363636363,0.8257372654155496,1.0,scale,0.3738836255334147,0.5227272727272727,0.9019607843137256,0.368,0.774798927613941,10,3,scale,0.2992293594052044,2349.496284723282,16680,373
2001,0.5972222222222222,0.8431372549019608,0.4623655913978494,0.8449197860962567,1.0,scale,0.3870240504505897,0.5176470588235295,0.8627450980392157,0.3697478991596639,0.7807486631016043,10,3,scale,0.3113831652692072,2476.065064907074,17053,374
2002,0.5838509316770186,0.9215686274509804,0.4272727272727272,0.8149171270718232,1.0,scale,0.3917214138272162,0.5180722891566265,0.8431372549019608,0.3739130434782609,0.7790055248618785,10,3,scale,0.3180583820621565,2568.463815689087,17427,362
2003,0.6,0.875,0.4565217391304347,0.825,1.0,scale,0.3949083261110925,0.5068493150684932,0.7708333333333334,0.3775510204081632,0.775,10,3,scale,0.3185214717062718,2787.046035528183,17789,320
2004,0.5121951219512195,0.7777777777777778,0.3818181818181818,0.7777777777777778,1.0,scale,0.406699657489574,0.4337349397590361,0.6666666666666666,0.3214285714285714,0.7388888888888889,10,3,scale,0.3217354884441371,2829.9147889614105,18109,360
2005,0.4277456647398844,0.6491228070175439,0.3189655172413793,0.7367021276595744,1.0,scale,0.4069888936046601,0.4081632653061224,0.7017543859649122,0.2877697841726618,0.6914893617021277,10,3,scale,0.3231130134070989,2950.4838712215424,18469,376
2006,0.5590062111801242,0.8333333333333334,0.4205607476635514,0.8207070707070707,1.0,scale,0.4101644575374983,0.4285714285714285,0.6666666666666666,0.3157894736842105,0.7575757575757576,10,3,scale,0.3218814128990097,3264.6563425064087,18845,396
2007,0.6025641025641025,0.9215686274509804,0.4476190476190476,0.8342245989304813,1.0,scale,0.410729468376644,0.5657894736842105,0.8431372549019608,0.4257425742574257,0.8235294117647058,10,3,scale,0.3150060693005159,3422.0603778362274,19241,374
2008,0.4768211920529801,0.6666666666666666,0.3711340206185567,0.7853260869565217,1.0,scale,0.4171644676073205,0.467065868263473,0.7222222222222222,0.3451327433628318,0.7581521739130435,10,3,scale,0.3143289307633401,3679.631241083145,19615,368
2009,0.31137724550898205,0.5098039215686274,0.22413793103448276,0.6617647058823529,1.0,scale,0.4152744415913334,0.3253012048192771,0.5294117647058824,0.23478260869565218,0.6705882352941176,10,3,scale,0.3236977039134333,559.6914038658142,19983,340
2010,0.4873096446700508,0.8421052631578947,0.34285714285714286,0.7785087719298246,1.0,scale,0.41357808146284164,0.4479166666666667,0.7543859649122807,0.31851851851851853,0.7675438596491229,10,3,scale,0.3213241742201531,603.3799679279327,20323,456
2011,0.5987261146496815,0.8245614035087719,0.47,0.8618421052631579,10.0,scale,0.4116977746072983,0.5644171779141104,0.8070175438596491,0.4339622641509434,0.8442982456140351,10,3,scale,0.3112638946509437,609.6103889942169,20779,456
2012,0.5079365079365079,0.8,0.37209302325581395,0.80625,1.0,scale,0.41152869931436725,0.4712041884816754,0.75,0.3435114503816794,0.7895833333333333,10,3,scale,0.3090663129424159,653.2950220108032,21235,480
2013,0.49142857142857144,0.7543859649122807,0.3644067796610169,0.7870813397129187,1.0,scale,0.40663540348721144,0.4482758620689655,0.6842105263157895,0.3333333333333333,0.7703349282296651,10,3,scale,0.3058870795623511,711.8055188655853,21715,418
2014,0.43,0.7543859649122807,0.3006993006993007,0.7199017199017199,1.0,scale,0.40929809036370185,0.37362637362637363,0.5964912280701754,0.272,0.7199017199017199,10,3,scale,0.3039618659859613,742.8803458213806,22133,407
2015,0.5714285714285714,0.9122807017543859,0.416,0.7936507936507936,1.0,scale,0.4016866386621543,0.4729064039408867,0.8421052631578947,0.3287671232876712,0.716931216931217,10,3,scale,0.2996273998461261,954.6918089389801,22540,378
2016,0.5188679245283019,0.873015873015873,0.3691275167785235,0.7792207792207793,1.0,scale,0.39972317328161616,0.4052863436123348,0.7301587301587301,0.2804878048780488,0.7077922077922078,10,3,scale,0.30072674994113124,813.1076600551605,22918,462
2017,0.5894736842105263,0.9333333333333333,0.4307692307692308,0.805,1.0,scale,0.4023097573588071,0.5151515151515151,0.85,0.3695652173913043,0.76,10,3,scale,0.3029252248650778,862.703449010849,23380,400
2018,0.6455026455026455,0.9682539682539683,0.48412698412698413,0.8404761904761905,1.0,scale,0.40376149766400266,0.57,0.9047619047619048,0.41605839416058393,0.7952380952380952,10,3,scale,0.3033979276316932,869.000874042511,23780,420
2019,0.547486033519553,0.7777777777777778,0.4224137931034483,0.8071428571428572,1.0,scale,0.4180953318019884,0.4948453608247423,0.7619047619047619,0.366412213740458,0.7666666666666667,10,3,scale,0.31389472481139147,957.6793689727783,24200,420
2020,0.5205479452054794,0.7450980392156863,0.4,0.7941176470588235,1.0,scale,0.41730672335072483,0.4779874213836478,0.7450980392156863,0.35185185185185186,0.7558823529411764,10,3,scale,0.31377344935320534,972.6051869392395,24620,340
2021,0.5603864734299517,0.8787878787878788,0.41134751773049644,0.7931818181818182,1.0,scale,0.4233904083530933,0.5410628019323671,0.8484848484848485,0.3971631205673759,0.7840909090909091,10,3,scale,0.31595801809652385,1025.0726931095123,24960,440
2022,0.6048780487804878,0.9393939393939394,0.4460431654676259,0.8159090909090909,1.0,scale,0.4265267808733882,0.5257731958762887,0.7727272727272727,0.3984375,0.7909090909090909,10,3,scale,0.3172840603742595,1078.7736539840698,25400,440
2023,0.4857142857142857,0.7727272727272727,0.3541666666666667,0.7545454545454545,1.0,scale,0.42522128102951706,0.4411764705882353,0.6818181818181818,0.32608695652173914,0.740909090909091,10,3,scale,0.31293331157294535,1162.0666909217834,25840,440
2024,0.5062240663900415,0.8472222222222222,0.3609467455621302,0.7515657620041754,1.0,scale,0.4220602284952369,0.4745762711864407,0.7777777777777778,0.34146341463414637,0.7411273486430062,10,3,scale,0.3139511495659644,1180.2247552871704,26280,479
