episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
215,499.0,128,189,0.1,11.04543,44.8
216,1183.0,512,409,0.1,12.16922,45.0
217,1479.0,512,505,0.1,11.61179,45.2
218,545.0,128,202,0.1,11.15896,45.8
219,611.0,128,225,0.1,10.67315,46.0
220,595.0,128,220,0.1,12.59186,46.1
221,663.0,256,236,0.1,11.58846,46.2
222,1686.0,512,573,0.1,12.17445,46.4
223,753.0,256,271,0.1,12.10986,46.5
224,812.0,256,290,0.1,11.61881,47.0
225,1072.0,256,378,0.1,11.92214,47.2
226,938.0,512,328,0.1,10.81909,47.9
227,807.0,256,287,0.1,11.88055,48.0
228,357.0,128,139,0.1,11.25299,48.5
229,682.0,256,246,0.1,10.66583,48.7
230,752.0,256,272,0.1,11.15096,48.8
231,883.0,256,315,0.1,12.00719,49.0
232,581.0,128,213,0.1,12.07514,49.1
233,749.0,256,271,0.1,11.4472,49.2
234,1091.0,512,379,0.1,11.21198,49.5
235,935.0,256,328,0.1,12.45069,49.6
236,754.0,256,270,0.1,11.74166,50.2
237,1106.0,512,381,0.1,12.2806,50.8
238,721.0,256,263,0.1,11.54262,51.3
239,863.0,256,308,0.1,13.10713,51.4
240,486.0,128,184,0.1,10.93806,51.5
241,904.0,256,322,0.1,11.80942,51.6
242,357.0,128,138,0.1,10.60282,51.7
243,1278.0,512,444,0.1,12.28561,51.8
244,1185.0,512,411,0.1,12.97173,52.0
245,1018.0,256,354,0.1,11.00823,52.1
246,1024.0,512,361,0.1,13.50286,52.7
247,638.0,256,232,0.1,13.01391,53.2
248,571.0,128,211,0.1,11.01321,53.7
249,1164.0,512,404,0.1,12.18323,53.9
250,758.0,256,272,0.1,12.37298,54.4
251,1839.0,1024,622,0.1,12.5328,55.2
252,1409.0,512,485,0.1,12.86318,56.2
253,668.0,256,242,0.1,11.49561,57.0
254,1168.0,512,402,0.1,11.77902,57.4
255,410.0,128,157,0.1,10.88032,57.6
256,725.0,256,255,0.1,14.31776,57.9
257,1121.0,512,388,0.1,12.21388,58.1
258,722.0,256,260,0.1,12.26044,58.2
259,754.0,256,273,0.1,11.94455,58.7
260,648.0,256,234,0.1,12.05524,59.0
261,475.0,128,179,0.1,11.53547,59.1
262,1354.0,512,464,0.1,12.18465,59.4
263,829.0,256,298,0.1,12.07066,59.6
264,802.0,256,286,0.1,11.87487,59.8
265,592.0,128,220,0.1,12.31348,59.9
266,615.0,128,228,0.1,11.60858,60.1
267,888.0,256,315,0.1,12.73712,60.3
268,688.0,256,246,0.1,11.41244,60.4
269,589.0,256,217,0.1,12.3512,60.5
270,857.0,256,306,0.1,13.62856,60.6
271,435.0,128,168,0.1,11.40835,60.7
272,1172.0,512,408,0.1,11.20244,60.8
273,634.0,256,230,0.1,12.24673,60.9
274,1494.0,512,514,0.1,13.01168,61.1
275,441.0,128,169,0.1,11.08876,61.2
276,2070.0,1024,696,0.1,13.18921,61.5
277,597.0,128,222,0.1,11.52837,62.1
278,755.0,256,272,0.1,13.2356,62.2
279,928.0,512,325,0.1,13.16237,62.7
280,500.0,128,188,0.1,12.4446,62.8
281,1233.0,512,427,0.1,11.48272,63.3
282,435.0,128,168,0.1,12.59604,63.8
283,1265.0,512,437,0.1,13.8492,64.1
284,750.0,256,268,0.1,11.84008,64.3
285,1226.0,512,420,0.1,13.15847,65.1
286,1197.0,256,419,0.1,14.24915,65.7
287,917.0,256,327,0.1,12.80769,65.8
288,1698.0,512,581,0.1,13.18222,66.0
289,787.0,256,284,0.1,10.93298,66.5
290,1730.0,1024,586,0.1,13.73063,67.1
291,689.0,256,246,0.1,13.01511,67.7
292,1481.0,256,511,0.1,14.04533,68.3
293,704.0,256,252,0.1,13.16276,68.9
294,1376.0,512,473,0.1,14.12224,69.1
295,1418.0,256,488,0.1,12.61236,69.3
296,801.0,256,284,0.1,14.56179,70.3
297,857.0,256,305,0.1,12.87861,71.0
298,420.0,128,162,0.1,11.91772,71.6
299,516.0,128,194,0.1,14.19087,72.1
300,1039.0,256,363,0.1,11.74523,72.7
301,480.0,128,183,0.1,11.22082,73.3
302,794.0,256,282,0.1,11.36784,73.9
303,498.0,128,189,0.1,13.15055,74.1
304,1489.0,512,509,0.1,13.47148,75.1
305,842.0,256,301,0.1,12.62878,76.0
306,497.0,128,185,0.1,12.11368,76.1
307,1197.0,512,413,0.1,11.74742,76.5
308,1274.0,512,441,0.1,13.25686,76.7
309,906.0,256,323,0.1,10.93434,76.9
310,716.0,256,257,0.1,11.95405,77.0
311,548.0,128,204,0.1,11.89201,77.2
312,498.0,128,187,0.1,11.70579,77.3
313,1141.0,256,399,0.1,12.31909,77.5
314,1263.0,512,436,0.1,14.29189,77.6
315,1390.0,512,476,0.1,13.6101,77.8
316,399.0,128,155,0.1,10.66413,78.4
317,1405.0,512,484,0.1,13.30709,78.7
318,1600.0,512,549,0.1,13.65231,79.2
319,1808.0,512,621,0.1,12.77665,79.9
320,749.0,256,269,0.1,12.52912,80.7
321,619.0,256,223,0.1,12.02472,81.3
322,661.0,256,240,0.1,12.02683,81.4
323,788.0,256,283,0.1,13.85425,81.5
324,840.0,256,296,0.1,12.90443,81.7
325,1581.0,512,542,0.1,14.04668,81.9
326,674.0,256,244,0.1,13.47954,82.0
327,249.0,64,103,0.1,13.02729,82.1
328,768.0,256,275,0.1,12.0745,82.3
329,517.0,128,194,0.1,13.22994,82.4
330,656.0,256,240,0.1,11.66685,82.5
331,829.0,256,295,0.1,12.25337,82.7
332,983.0,512,344,0.1,13.55758,82.8
333,1080.0,512,374,0.1,13.75445,83.0
334,1357.0,512,465,0.1,11.84928,83.2
335,994.0,256,349,0.1,14.1147,83.3
336,877.0,256,311,0.1,13.27656,83.4
337,678.0,256,246,0.1,11.7424,83.5
338,710.0,256,253,0.1,14.4068,83.6
339,1141.0,512,398,0.1,13.44075,83.8
340,1296.0,512,447,0.1,12.60636,83.9
341,699.0,256,254,0.1,13.64728,84.5
342,954.0,256,333,0.1,15.48975,84.7
343,662.0,256,240,0.1,13.30581,85.5
344,565.0,256,205,0.1,11.95168,85.6
345,1747.0,512,591,0.1,14.08146,85.9
346,1593.0,512,545,0.1,13.73763,86.1
347,911.0,256,324,0.1,14.28067,86.7
348,1140.0,512,399,0.1,13.79668,87.3
349,1322.0,512,456,0.1,13.01723,88.3
350,1404.0,512,483,0.1,13.06845,89.0
351,998.0,256,352,0.1,11.82891,89.6
352,760.0,256,271,0.1,14.08137,89.7
353,392.0,128,150,0.1,14.69739,89.8
